City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Shenyang,832.2,6470.3,284,2178.6,4007.6,0.232682528,8.643234799,3.815068493,4.589161259,12860,0.064712286,7.77493391,0.043892864,0.336707726,0.619383954,5.603785714,0.3761505,0.000451995,36,4.33E-06,3.583518938,-12.35089423
Dalian,710,7001.7,458.5,2799.8,3743.3,0.228509855,6.648,3.139,3.698,13244,0.053609182,9.861549296,0.065484097,0.399874316,0.534627305,5.601578571,0.095776,0.000134896,27,3.80E-06,3.295836866,-12.47976848
Chaoyang,304.46,843.1,194.6,248,400.5,0.246732214,6.550614202,2.67292912,2.511659988,19698,0.015456392,2.769165079,0.23081485,0.294152532,0.475032618,5.827807143,0,0,6,1.97E-06,1.791759469,-13.13712062
Jinzhou,294.96,1073,198.3,279.2,595.6,0.280786954,6.371372389,3.266883645,4.131068619,10048,0.029355096,3.637781394,0.184808947,0.260205033,0.555079217,5.45155,0,0,12,4.07E-06,2.48490665,-12.41227348
Huludao,253.79,807.1,133.1,302.2,371.8,0.259176879,6.58575988,2.088340754,3.096827472,10416,0.024365399,3.180188345,0.164911411,0.374426961,0.460661628,5.713642857,0,0,12,4.73E-06,2.48490665,-12.26194088
Changchun,930,5904.1,348.1,2459.4,3060.6,0.18019916,6.021505376,3.4,2.203028664,20594,0.045158784,6.348494624,0.058959028,0.416557985,0.518385529,5.5896,0.052517,5.65E-05,49,5.27E-06,3.891820298,-12.15370466
Haerbin,1076.3,5249.4,569.5,1127.3,3552.6,0.199752671,8.296943231,2.267025922,2.796618043,53076,0.020278469,4.877264703,0.108488589,0.214748352,0.676763059,5.32195,0.7799835,0.00072469,264,2.45E-05,5.575949103,-10.61567578
Fuzhou,780,9392.3,526.47,3830.99,5034.84,0.172970641,4.907307692,3.024102564,3.440897436,12255,0.063647491,12.04141026,0.056053363,0.407886247,0.53606039,4.575007143,0.9966425,0.001277747,72,9.23E-06,4.276666119,-11.59296817
Shamen,429,5955.04,26.49,2493.99,3474.56,0.1206562,4.378554779,3.274592075,3.8,1701,0.252204586,13.88121212,0.004448333,0.418803232,0.583465434,4.836185714,0.8126445,0.001894276,35,8.16E-06,3.555348061,-11.71644923
Nanning,734.48,4506.56,507.27,1044.97,2954.32,0.172755174,7.364257706,2.797217079,4.074991831,22244,0.033019241,6.135715064,0.112562575,0.23187753,0.655559895,5.038414286,0.9419795,0.001282512,55,7.49E-06,4.007333185,-11.80216995
