,Unnamed: 0,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
0,0,2020-01-22,上海,78.0,44.0,5.0,1.2,55.0,69.0,97.0,1021.0,0.1,10.5,3.9841,0.0,0.0,0.0,0.0,0
1,1,2020-01-23,上海,56.0,32.5,4.5,0.95,45.0,67.5,97.5,1021.0,0.1,9.75,3.6416,0.002882865,7.0,2.0794415416798357,0.0028787175138788,1
2,2,2020-01-24,上海,52.0,39.0,4.666666666666667,0.8666666666666666,38.333333333333336,77.33333333333333,97.33333333333331,1022.6666666666665,0.3666666666666667,9.5,3.2541,0.004530216,11.0,2.4849066497880004,0.0045199854575716,2
3,3,2020-01-25,上海,42.5,32.75,4.5,0.7749999999999999,34.0,75.25,96.25,1024.25,0.3,9.25,2.884675,0.0098841079999999,24.0,3.218875824868201,0.0098355797150526,3
4,4,2020-01-26,上海,37.2,30.2,4.6,0.74,30.8,75.6,96.4,1024.4,0.42,8.9,2.63122,0.012766973000000001,31.0,3.4657359027997265,0.0126861622789137,4
5,5,2020-01-27,上海,35.0,28.83333333333333,4.5,0.7166666666666667,28.83333333333333,76.16666666666667,96.0,1023.3333333333335,0.5,8.666666666666666,2.45935,0.018120865,44.0,3.80666248977032,0.0179586389785708,5
6,6,2020-01-28,上海,41.857142857142854,34.142857142857146,4.714285714285714,0.7714285714285715,28.285714285714285,74.14285714285714,94.57142857142857,1023.0,0.4428571428571429,8.142857142857142,2.3317857142857146,0.023474757000000002,57.0,4.060443010546419,0.0232034624051921,6
7,7,2020-01-29,上海,40.42857142857143,35.714285714285715,5.142857142857143,0.7285714285714286,23.57142857142857,78.85714285714286,91.71428571428572,1023.4285714285713,0.4428571428571429,7.357142857142858,1.9845857142857144,0.035829893,87.0,4.477336814478207,0.0352029344097153,7
8,8,2020-01-30,上海,45.714285714285715,41.142857142857146,5.857142857142858,0.7857142857142858,21.714285714285715,83.42857142857143,85.28571428571429,1023.5714285714287,0.4428571428571429,6.928571428571429,1.7247571428571429,0.039536434,96.0,4.574710978503383,0.0387748772447591,8
9,9,2020-01-31,上海,46.42857142857143,39.57142857142857,6.428571428571429,0.8142857142857144,23.0,82.28571428571429,79.14285714285714,1023.2857142857144,0.4428571428571429,6.2142857142857135,1.6016142857142859,0.047361354,115.0,4.7535901911063645,0.0462740051040562,9
10,10,2020-02-01,上海,48.714285714285715,41.285714285714285,6.857142857142858,0.8428571428571431,26.42857142857143,84.0,73.42857142857143,1023.0,0.4428571428571429,5.7857142857142865,1.5727142857142855,0.05600995,136.0,4.919980925828125,0.0544976075881645,10
11,11,2020-02-02,上海,51.57142857142857,41.857142857142854,7.0,0.8428571428571431,28.285714285714285,87.42857142857143,69.28571428571429,1023.2857142857144,0.3285714285714286,5.7857142857142865,1.5556857142857143,0.058480977,142.0,4.962844630259907,0.056834839773284004,11
12,12,2020-02-03,上海,56.714285714285715,45.0,7.2857142857142865,0.8714285714285717,31.142857142857146,90.85714285714286,66.57142857142857,1024.428571428571,0.2142857142857143,6.071428571428571,1.5896000000000003,0.06177568,150.0,5.017279836814924,0.0599426764033325,12
13,13,2020-02-04,上海,47.57142857142857,38.57142857142857,7.142857142857142,0.7857142857142859,31.714285714285715,95.0,64.57142857142857,1025.428571428571,0.2142857142857143,6.571428571428571,1.6130285714285717,0.063011194,153.0,5.0369526024136295,0.0611056298782123,13
14,14,2020-02-05,上海,41.714285714285715,35.142857142857146,6.7142857142857135,0.742857142857143,32.714285714285715,93.14285714285714,64.28571428571429,1025.857142857143,0.2142857142857143,7.0,1.6342714285714288,0.060540167,147.0,4.997212273764115,0.0587783698357505,14
78,78,2020-01-22,北京,66.0,70.0,8.0,1.1,52.0,42.0,66.0,1020.0,0.1,-1.0,3.9546,0.0,0.0,0.0,0.0,0
79,79,2020-01-23,北京,61.0,66.5,7.0,1.0,44.0,56.5,66.5,1020.0,0.1,-0.25,3.5260000000000002,0.005572065,12.0,2.5649493574615367,0.0055565984728818,1
80,80,2020-01-24,北京,66.0,70.0,6.666666666666668,0.9,36.333333333333336,62.0,66.33333333333333,1024.0,0.3666666666666667,0.1666666666666666,3.1516333333333333,0.012072808,26.0,3.2958368660043287,0.0120005129414123,2
81,81,2020-01-25,北京,85.75,92.75,7.5,0.925,35.5,63.75,67.75,1026.0,0.5,-0.125,2.820075,0.014394502,31.0,3.4657359027997265,0.014291884733455,3
82,82,2020-01-26,北京,99.0,103.6,8.2,1.08,36.0,66.0,69.2,1026.6,0.42,-0.1,2.5869400000000002,0.026931649,58.0,4.07753744390572,0.0265753746907069,4
83,83,2020-01-27,北京,108.83333333333331,109.16666666666669,8.5,1.2,36.16666666666666,68.5,70.66666666666667,1026.5,0.3666666666666667,-0.1666666666666666,2.4025833333333333,0.032503713999999996,70.0,4.262679877041316,0.0319866429410121,5
84,84,2020-01-28,北京,117.71428571428572,114.57142857142857,9.142857142857142,1.3285714285714287,36.714285714285715,74.28571428571429,70.57142857142857,1025.571428571429,0.4428571428571429,-0.0714285714285714,2.257357142857143,0.037611441,81.0,4.4067192472642525,0.0369213803663999,6
85,85,2020-01-29,北京,118.28571428571428,111.85714285714286,9.0,1.3142857142857145,33.142857142857146,79.85714285714286,70.85714285714286,1025.857142857143,0.4428571428571429,0.1428571428571428,1.8995285714285717,0.046898217,101.0,4.624972813284272,0.0458317132182144,7
86,86,2020-01-30,北京,116.85714285714286,109.71428571428572,8.857142857142858,1.3000000000000005,31.857142857142854,81.28571428571429,70.14285714285714,1026.142857142857,0.5571428571428572,0.2142857142857142,1.6489142857142858,0.042719167999999995,92.0,4.532599493153255,0.0418318856884647,8
87,87,2020-01-31,北京,112.28571428571428,105.42857142857143,8.571428571428571,1.3142857142857147,32.714285714285715,82.28571428571429,69.71428571428571,1024.428571428571,0.5571428571428572,0.0714285714285714,1.5218285714285718,0.0478268949999999,103.0,4.6443908991413725,0.046718395728988,9
88,88,2020-02-01,北京,92.85714285714286,84.71428571428571,7.428571428571429,1.2142857142857149,29.42857142857143,82.71428571428571,62.0,1023.0,0.7714285714285714,0.4285714285714285,1.471971428571429,0.0589710259999999,127.0,4.852030263919617,0.0572977064716129,10
89,89,2020-02-02,北京,75.57142857142857,68.28571428571429,6.142857142857142,1.0285714285714291,25.57142857142857,81.71428571428571,59.85714285714285,1022.4285714285713,1.1,0.5,1.4286,0.0571136709999999,123.0,4.820281565605037,0.0555422422601752,11
90,90,2020-02-03,北京,55.57142857142857,52.714285714285715,5.0,0.8285714285714292,22.285714285714285,79.71428571428571,50.85714285714285,1022.7142857142856,1.4285714285714286,0.2857142857142857,1.4752142857142858,0.0612927199999999,132.0,4.890349128221754,0.0594877122501938,12
91,91,2020-02-04,北京,32.57142857142857,34.285714285714285,3.4285714285714284,0.5714285714285721,18.285714285714285,73.71428571428571,48.85714285714285,1022.8571428571428,1.6428571428571428,0.0,1.5164428571428574,0.06361441400000001,137.0,4.927253685157205,0.0616729323821497,13
92,92,2020-02-05,北京,26.285714285714285,31.714285714285715,2.8571428571428568,0.5142857142857148,17.0,69.0,47.0,1024.0,1.9714285714285715,-0.5,1.5326142857142862,0.065936108,142.0,4.962844630259907,0.0638533877372751,14
156,156,2020-01-22,广州,28.0,44.0,5.0,0.9,39.0,113.0,81.0,1017.0,0.9,19.0,2.4538,0.0,0.0,0.0,0.0,0
157,157,2020-01-23,广州,26.5,41.5,5.0,0.8500000000000001,36.5,110.5,81.0,1015.5,0.5,20.25,2.2493,0.0,0.0,0.0,0.0,0
158,158,2020-01-24,广州,24.33333333333333,38.333333333333336,5.0,0.8000000000000002,32.333333333333336,101.0,83.33333333333333,1014.6666666666665,0.6333333333333333,21.33333333333333,2.0201,0.0,0.0,0.0,0.0,0
159,159,2020-01-25,广州,25.5,38.25,5.25,0.8500000000000001,28.75,84.0,82.5,1014.5,0.7,21.125,1.8130000000000002,0.0045733999999999,7.0,2.0794415416798357,0.0045629737829747,1
160,160,2020-01-26,广州,21.8,32.4,5.0,0.8800000000000001,26.0,74.0,84.4,1014.2,1.0399999999999998,19.9,1.67494,0.0065334279999999,10.0,2.3978952727983707,0.0065121776674109,2
161,161,2020-01-27,广州,19.83333333333333,29.16666666666667,4.833333333333333,0.8666666666666667,23.5,71.16666666666667,82.33333333333333,1014.1666666666665,1.2666666666666666,18.25,1.5562333333333334,0.022213656000000002,34.0,3.5553480614894135,0.0219705266836627,3
162,162,2020-01-28,广州,18.857142857142858,27.285714285714285,4.714285714285714,0.8285714285714285,21.571428571428577,71.28571428571429,79.42857142857143,1014.4285714285713,1.6714285714285713,17.214285714285715,1.4692000000000005,0.028747084,44.0,3.80666248977032,0.0283416384972272,4
163,163,2020-01-29,广州,18.142857142857142,25.0,4.714285714285714,0.7999999999999999,17.571428571428573,67.28571428571429,75.57142857142857,1014.4285714285713,1.8857142857142857,16.142857142857142,1.252571428571429,0.036587198,56.0,4.043051267834549,0.0359337767068543,5
164,164,2020-01-30,广州,18.714285714285715,24.285714285714285,4.714285714285714,0.7714285714285714,14.571428571428573,66.28571428571429,69.85714285714286,1014.8571428571428,2.2142857142857144,14.857142857142858,1.0937285714285714,0.056840826,87.0,4.477336814478207,0.055284105198187994,6
165,165,2020-01-31,广州,20.285714285714285,24.857142857142854,4.857142857142857,0.757142857142857,14.285714285714285,70.28571428571429,65.14285714285714,1015.5714285714287,2.1,13.285714285714285,1.0113142857142858,0.068600997,105.0,4.663439094112067,0.0663503135375425,7
