PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
78,44,5,1.2,55,69,97,1021,0.1,10.5,3.9841,0,0
56,32.5,4.5,0.95,45,67.5,97.5,1021,0.1,9.75,3.6416,7,1
52,39,4.666666667,0.866666667,38.33333333,77.33333333,97.33333333,1022.666667,0.366666667,9.5,3.2541,11,2
30.66666667,29,4.333333333,0.633333333,27,77.33333333,96,1025.333333,0.366666667,8.833333333,2.5182,24,3
24.66666667,28.66666667,4.666666667,0.6,21.33333333,81,95.66666667,1026.666667,0.633333333,8.333333333,1.957633333,24,4
18,18.66666667,4.333333333,0.566666667,19.33333333,75,94.66666667,1024,0.633333333,7.833333333,1.6646,33,5
41,36,5,0.766666667,20.66666667,72.66666667,92.33333333,1021.333333,0.633333333,6.666666667,1.5946,33,6
58.33333333,47.66666667,6,0.866666667,22,81,85.66666667,1021,0.366666667,5.833333333,1.573366667,56,7
74,60,7.666666667,1.033333333,23,87.33333333,72,1022.333333,0.1,5.333333333,1.533466667,59,8
62.66666667,51.66666667,8.666666667,0.966666667,26,96.33333333,61.33333333,1023.333333,0.366666667,5,1.550366667,69,9
50,42,8.333333333,0.9,33.66666667,89.33333333,53.33333333,1024.333333,0.366666667,5.166666667,1.557166667,73,10
38.33333333,30.33333333,7.333333333,0.733333333,36.66666667,90.33333333,58.33333333,1026,0.366666667,5.666666667,1.563133333,70,11
42,31.33333333,6.333333333,0.7,38.33333333,95,65.33333333,1026.666667,0.1,7.5,1.636566667,68,12
38.33333333,29.66666667,5.666666667,0.633333333,33,98.33333333,71.66666667,1027,0.1,8.5,1.688666667,50,13
35.33333333,32,5.333333333,0.633333333,32.33333333,94.33333333,74,1027,0.1,8.666666667,1.756733333,61,14
21,24.33333333,4.666666667,0.533333333,24.33333333,86.33333333,72.33333333,1029,0.366666667,8.166666667,1.676566667,54,15
22.66666667,25.33333333,4.666666667,0.566666667,20.33333333,83,80,1029.333333,0.366666667,7.166666667,1.642233333,58,16
27.33333333,27.33333333,4.666666667,0.566666667,17.66666667,79.66666667,81.33333333,1030.333333,0.366666667,6.666666667,1.577733333,43,17
47.66666667,42,5.333333333,0.7,23,85.66666667,84,1030.333333,0.366666667,6.166666667,1.5527,36,18
55.66666667,48,6.333333333,0.733333333,28.33333333,93.33333333,78.66666667,1029.666667,0.366666667,6.833333333,1.865833333,22,19
50.66666667,42.66666667,6.333333333,0.7,29.33333333,96.66666667,69.66666667,1028,0.366666667,9,2.111666667,17,20
41,33,6.333333333,0.7,33.33333333,85.66666667,76.66666667,1023.666667,0.1,10.16666667,2.3868,18,21
42.66666667,29.66666667,5.333333333,0.733333333,32,74,82,1021,0.1,11.83333333,2.3281,16,22
40,26,5,0.766666667,34.33333333,66.33333333,97.33333333,1018,0.1,11.83333333,2.3916,15,23
28,16.33333333,4.333333333,0.666666667,28,61,97,1017.333333,0.1,13.33333333,2.145833333,15,24
18.66666667,17.66666667,4.666666667,0.6,23.33333333,64.33333333,96.33333333,1019.333333,0.366666667,11.5,1.858633333,13,25
18.33333333,23.33333333,5.666666667,0.566666667,19,70.33333333,80,1023.666667,0.366666667,8,1.977433333,14,26
20,28.66666667,7,0.566666667,20,82.33333333,59.66666667,1028.666667,0.633333333,4.833333333,2.3647,7,27
16,23.33333333,6.666666667,0.466666667,22.66666667,91.33333333,50.66666667,1030.333333,0.366666667,4.666666667,2.796266667,5,28
15.66666667,21.66666667,6,0.4,29.33333333,93.33333333,59.33333333,1030,0.366666667,7,2.846166667,2,29
19.33333333,24.33333333,5.333333333,0.366666667,31.33333333,95.66666667,73.66666667,1030,0.1,9.166666667,2.937733333,1,30
38,49.66666667,6.666666667,0.5,34.66666667,98.66666667,77.33333333,1030,0.1,11,2.684233333,2,31
41.66666667,60,6.666666667,0.533333333,30,104.3333333,72.66666667,1031.666667,0.1,11.66666667,2.351933333,1,32
44.66666667,72.66666667,7.333333333,0.566666667,27.66666667,117,69,1029.333333,0.366666667,12,2.592366667,1,33
37.33333333,58,6.666666667,0.6,28.33333333,107.3333333,71,1024.666667,0.366666667,13.66666667,3.1543,1,34
37.66666667,52.33333333,6.333333333,0.666666667,26.66666667,100.6666667,77,1020.666667,0.633333333,15.33333333,3.758566667,1,35
34.66666667,44,5.333333333,0.666666667,25,89,78,1022,0.633333333,14.33333333,3.7866,2,36
31,40.66666667,4.666666667,0.666666667,25.66666667,85.66666667,77,1024.333333,0.9,12.16666667,3.826866667,1,37
30.33333333,34,5,0.7,31.66666667,77.66666667,80.66666667,1023,0.633333333,10.5,3.401466667,1,38
26,23.66666667,4.666666667,0.7,32.33333333,72.66666667,88.33333333,1019,0.366666667,10.66666667,2.895266667,0,39
22,19,4.666666667,0.7,26,79.33333333,90.33333333,1019.666667,0.1,10.16666667,3.0966,0,40
20.66666667,24.66666667,4.666666667,0.666666667,23.33333333,85.66666667,81,1022.333333,0.1,9.166666667,3.759533333,1,41
25,32,5,0.666666667,23,90.66666667,70.66666667,1024.666667,0.1,9.166666667,4.4771,1,42
24.33333333,32.66666667,5,0.566666667,23.66666667,91.66666667,61.33333333,1026,0.366666667,9,4.500333333,2,43
24.33333333,32.33333333,5,0.533333333,21.33333333,102.3333333,61.33333333,1026,0.366666667,9.166666667,4.5483,4,44
34.66666667,35.33333333,5.333333333,0.566666667,26.33333333,106.3333333,70.33333333,1023.333333,0.633333333,9.833333333,4.053766667,4,45
33.33333333,31.66666667,5,0.533333333,27.33333333,108.6666667,80.66666667,1019.666667,0.633333333,11.16666667,3.464166667,3,46
30,23.33333333,4.666666667,0.566666667,31.33333333,98,88.66666667,1015.333333,0.9,12.66666667,3.544266667,0,47
20,18.66666667,4.333333333,0.566666667,28.66666667,94.66666667,90.66666667,1013.666667,0.9,12.5,4.205333333,2,48
35,33.33333333,5,0.7,37.66666667,96.66666667,82.66666667,1015,0.633333333,11.5,4.9633,2,49
47.66666667,47,5.666666667,0.733333333,36.33333333,106,80.33333333,1018.333333,0.366666667,11.16666667,5.032866667,2,50
45.33333333,45.33333333,5.333333333,0.7,37.33333333,102,80.33333333,1021,0.1,11.66666667,5.065133333,2,51
32.66666667,39.66666667,5.333333333,0.633333333,31.33333333,94,83.33333333,1021.666667,0.1,11.83333333,4.538933333,8,52
30.66666667,48,6,0.633333333,40,93.66666667,79.66666667,1021,0.1,11.33333333,3.923866667,9,53
28,52,6.666666667,0.6,37.66666667,95,62.33333333,1021.666667,0.1,11.83333333,4.059133333,9,54
30,56,8,0.6,43.33333333,109.3333333,54.33333333,1021.333333,0.366666667,13,4.736533333,6,55
32.33333333,56.33333333,9.333333333,0.6,43.66666667,127.6666667,54.66666667,1020.333333,0.366666667,15.16666667,5.515333333,8,56
38.66666667,69.33333333,10.33333333,0.6,48,128.3333333,62.66666667,1017.333333,0.366666667,16.5,5.5426,8,57
33.33333333,70.33333333,10.66666667,0.533333333,43,123.3333333,57,1016.333333,0.1,17,5.5931,13,58
