PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
78,44,5,1.2,55,69,97,1021,0.1,10.5,3.9841,0,0
56,32.5,4.5,0.95,45,67.5,97.5,1021,0.1,9.75,3.6416,7,1
52,39,4.666666667,0.866666667,38.33333333,77.33333333,97.33333333,1022.666667,0.366666667,9.5,3.2541,11,2
30.66666667,29,4.333333333,0.633333333,27,77.33333333,96,1025.333333,0.366666667,8.833333333,2.5182,24,3
24.66666667,28.66666667,4.666666667,0.6,21.33333333,81,95.66666667,1026.666667,0.633333333,8.333333333,1.957633333,24,4
18,18.66666667,4.333333333,0.566666667,19.33333333,75,94.66666667,1024,0.633333333,7.833333333,1.6646,33,5
41,36,5,0.766666667,20.66666667,72.66666667,92.33333333,1021.333333,0.633333333,6.666666667,1.5946,33,6
58.33333333,47.66666667,6,0.866666667,22,81,85.66666667,1021,0.366666667,5.833333333,1.573366667,56,7
74,60,7.666666667,1.033333333,23,87.33333333,72,1022.333333,0.1,5.333333333,1.533466667,59,8
62.66666667,51.66666667,8.666666667,0.966666667,26,96.33333333,61.33333333,1023.333333,0.366666667,5,1.550366667,69,9
50,42,8.333333333,0.9,33.66666667,89.33333333,53.33333333,1024.333333,0.366666667,5.166666667,1.557166667,73,10
38.33333333,30.33333333,7.333333333,0.733333333,36.66666667,90.33333333,58.33333333,1026,0.366666667,5.666666667,1.563133333,70,11
42,31.33333333,6.333333333,0.7,38.33333333,95,65.33333333,1026.666667,0.1,7.5,1.636566667,68,12
66,70,8,1.1,52,42,66,1020,0.1,-1,3.9546,0,0
61,66.5,7,1,44,56.5,66.5,1020,0.1,-0.25,3.526,12,1
66,70,6.666666667,0.9,36.33333333,62,66.33333333,1024,0.366666667,0.166666667,3.151633333,26,2
92.33333333,100.3333333,7.333333333,0.866666667,30,71,68.33333333,1028,0.633333333,0.166666667,2.4419,31,3
124.3333333,128.3333333,9,1.133333333,30.66666667,72.33333333,71,1031,0.633333333,0,1.9609,46,4
151.6666667,148.3333333,10.33333333,1.5,36,75,75,1029,0.366666667,-0.5,1.653533333,44,5
160.3333333,143.6666667,11.33333333,1.866666667,38.33333333,88.33333333,74.33333333,1025,0.366666667,0,1.507066667,50,6
133,111.6666667,10,1.633333333,34.66666667,90.33333333,72,1022.666667,0.366666667,0.166666667,1.438866667,43,7
95.66666667,82,8.333333333,1.3,31.33333333,90.33333333,66.66666667,1021.333333,0.633333333,0.666666667,1.392966667,34,8
53.33333333,48.66666667,5.333333333,0.866666667,27,80.66666667,64.33333333,1021.333333,0.633333333,0.5,1.4354,48,9
33,37,3.666666667,0.633333333,21.33333333,77.66666667,47.66666667,1021.333333,1.4,0.833333333,1.444266667,57,10
28,31.66666667,2.666666667,0.5,16,73.33333333,47,1022.333333,1.9,0.666666667,1.446833333,77,11
19.33333333,25.33333333,2,0.366666667,11.66666667,69,31,1025,2.4,0,1.544766667,73,12
28,44,5,0.9,39,113,81,1017,0.9,19,2.4538,0,0
26.5,41.5,5,0.85,36.5,110.5,81,1015.5,0.5,20.25,2.2493,0,0
24.33333333,38.33333333,5,0.8,32.33333333,101,83.33333333,1014.666667,0.633333333,21.33333333,2.0201,0,0
24.66666667,36.33333333,5.333333333,0.833333333,25.33333333,74.33333333,83,1013.666667,0.633333333,21.83333333,1.5994,7,1
18.66666667,26.33333333,5,0.9,19,49.66666667,86.66666667,1013.333333,1.4,19.66666667,1.292033333,10,2
15.33333333,20,4.666666667,0.933333333,14.66666667,41.33333333,81.33333333,1013.666667,1.9,15.16666667,1.092366667,34,3
10,12.66666667,4,0.8,12,54.33333333,75.33333333,1014.333333,2.966666667,12,1.0108,37,4
15.33333333,19,4.333333333,0.7,10.66666667,71.33333333,62.66666667,1015.666667,2.966666667,10.83333333,0.949033333,46,5
21.66666667,26,4.666666667,0.633333333,11.33333333,86,52.33333333,1016.666667,2.966666667,11.66666667,0.9391,53,6
27.66666667,32.66666667,5.333333333,0.633333333,15.33333333,98.66666667,50,1017.333333,1.633333333,12.16666667,0.9517,61,7
33.33333333,40,5.666666667,0.633333333,22.33333333,109,51.66666667,1017.666667,1.133333333,13,0.964833333,87,8
35.66666667,44.66666667,6,0.666666667,26.33333333,105,59.66666667,1017.666667,0.633333333,14.16666667,0.970033333,85,9
39,49.33333333,5.666666667,0.733333333,28,83.66666667,63,1017.666667,0.633333333,15.33333333,1.0076,88,10
107,124,7,1,42,63,69,960,2.4,9.5,4.0045,0,0
113,129,6.5,1.05,41.5,48,78,960.5,1.25,9.75,3.68035,0,0
94.33333333,107.6666667,6.333333333,0.966666667,33.33333333,57,84.33333333,961.3333333,0.866666667,9.333333333,3.3415,0,0
75,84,6.333333333,0.9,24,66.66666667,91,964,0.1,8.833333333,2.686066667,9,1
48.66666667,54.33333333,6.333333333,0.8,15.33333333,75,87.33333333,965.6666667,0.1,8.166666667,2.196566667,15,2
42.33333333,47,6.666666667,0.8,14.33333333,66.33333333,81.33333333,965.3333333,0.866666667,7.666666667,1.8669,26,3
42.33333333,47.33333333,6.333333333,0.833333333,17,50,83.66666667,963.6666667,0.866666667,7,1.7209,21,4
43.66666667,48.66666667,6,0.866666667,19.33333333,55.66666667,91,964,0.866666667,6.5,1.664333333,24,5
46.66666667,52.33333333,5.666666667,0.866666667,21.66666667,61,96.33333333,965.6666667,0.1,7.333333333,1.6422,26,6
44.66666667,50.33333333,5.333333333,0.8,19.66666667,65.33333333,96.33333333,965.6666667,0.1,8.5,1.6386,32,7
43.66666667,49.33333333,5.333333333,0.733333333,17,53,94.33333333,964,0.1,8.666666667,1.603666667,26,8
40.66666667,45.33333333,5,0.666666667,16.66666667,52.33333333,95,963,0.1,8,1.6085,14,9
37,42,5,0.6,17,59.66666667,95,964.6666667,0.1,7.666666667,1.769633333,8,10
34,49,5,0.6,22,97,81,1014,2.4,20,1.9892,0,0
29,43,5,0.6,20,86.5,84,1012,2.4,21,1.766,0,0
25,37,5,0.566666667,17.66666667,83,85.66666667,1011.333333,1.9,21.83333333,1.532666667,0,0
22,31.33333333,5,0.566666667,14.33333333,72,88.66666667,1010.333333,1.9,22.5,1.144366667,5,1
16.66666667,22.33333333,5,0.6,12,59,90.33333333,1009.666667,1.9,21.16666667,0.874866667,16,2
12.66666667,17,5,0.633333333,11,50.33333333,86,1009.333333,2.966666667,18,0.7672,21,3
8.333333333,11,5,0.633333333,10.33333333,49.66666667,78.33333333,1009.333333,3.533333333,14.33333333,0.742833333,37,4
13,16,5,0.633333333,10.33333333,63.33333333,66.66666667,1011,3.533333333,12.16666667,0.757433333,49,5
20.33333333,24.33333333,5,0.6,11,76.33333333,56.33333333,1012.666667,2.966666667,11.5,0.771233333,62,6
26.33333333,31.33333333,5.333333333,0.566666667,12,89,45,1013.666667,2.4,12.16666667,0.798,77,7
28.33333333,36,5.333333333,0.5,13,96,44.66666667,1014.333333,1.9,13.66666667,0.812133333,90,8
29,39.33333333,5.333333333,0.5,13,99,53.66666667,1014.333333,1.9,15.16666667,0.815566667,109,9
