PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
150,158,11,1.5,42,47,78,954,4.1,0.5,5.6072,0,0
158,164,10.5,1.6,41,52,80.5,954.5,3.25,1.75,5.40865,0,0
186.6666667,185.3333333,12,1.8,35.33333333,65.33333333,80.66666667,956.6666667,2.966666667,2,4.9848,0,0
201.6666667,193,13,1.9,28.33333333,78.33333333,83.33333333,960.3333333,1.9,2.166666667,4.348166667,0,0
187.3333333,172.6666667,12,1.766666667,19.33333333,89.66666667,85.33333333,962.3333333,1.9,1.666666667,3.6534,1,1
136.3333333,125.6666667,10.33333333,1.4,17.66666667,87.66666667,85.33333333,961.3333333,1.9,0.833333333,3.108333333,2,2
98.33333333,91.33333333,8,1.2,17.66666667,89.33333333,81.66666667,958,2.4,0.833333333,2.667166667,2,3
81.33333333,79.66666667,8.333333333,1.133333333,21,93.66666667,73.66666667,956.6666667,2.966666667,1,2.405666667,2,4
75,76.33333333,8.333333333,1.1,22.33333333,99.66666667,62,956.6666667,3.533333333,2,2.371566667,2,5
68,71.66666667,10.33333333,1.033333333,23.33333333,99,53,956.3333333,3.533333333,2.833333333,2.363966667,3,6
80,82,12.33333333,1.1,21.33333333,102,46.66666667,955.3333333,2.966666667,4,2.312133333,3,7
86,86.33333333,12,1.1,18.33333333,100.3333333,54.33333333,954.6666667,2.966666667,4.5,2.187666667,2,8
87.66666667,87.66666667,12,1.066666667,15,107.3333333,50,957,2.466666667,4.166666667,2.105566667,1,9
84.33333333,85,11.33333333,1,15,106.3333333,56,957,3.9,3.333333333,2.052933333,0,10
86.33333333,90.66666667,10.33333333,1.066666667,15,99,51.66666667,957.3333333,5.466666667,3.5,1.9789,0,11
81.33333333,83.33333333,7,1,14,81.66666667,70,957,7.4,2.333333333,1.814233333,0,12
72.66666667,72.66666667,5.333333333,0.933333333,13.66666667,65,79.33333333,959,5.966666667,0.666666667,1.7921,0,13
71.66666667,65,5.333333333,0.966666667,16.33333333,63.66666667,92.66666667,961,3.333333333,-0.833333333,1.839266667,0,14
81.66666667,76.33333333,7,1.1,21,76.66666667,88.66666667,962.3333333,1.4,0.833333333,1.976066667,0,15
77.66666667,78,8,1.166666667,25.66666667,84,69,960.6666667,1.966666667,3.5,2.105566667,0,16
62,68.66666667,10,1.066666667,27,91.33333333,50,956.3333333,2.466666667,6,2.238866667,0,17
57,64,11.33333333,1,24,95.33333333,41.33333333,951.3333333,2.466666667,7.666666667,2.3776,0,18
63.33333333,66.33333333,11.66666667,0.966666667,18.66666667,104,52,948,2.466666667,9.5,2.4387,0,19
58,95.66666667,10,0.8,13.33333333,99.33333333,64.66666667,945.6666667,3.033333333,10.83333333,2.433233333,0,20
39,84.33333333,7.666666667,0.633333333,11.33333333,90.33333333,55.66666667,950.3333333,4.966666667,8.166666667,2.295533333,0,21
17.66666667,69.66666667,5.666666667,0.466666667,11.66666667,85.33333333,43.33333333,957,4.966666667,3.833333333,2.170233333,0,22
16.33333333,33.66666667,5.666666667,0.533333333,18,91,26,964,3.9,0,2.253133333,0,23
23.66666667,36,7,0.633333333,25,95,27,963.6666667,2.466666667,0.833333333,2.466133333,0,24
33.66666667,43.66666667,9,0.733333333,31.33333333,102,28.33333333,960.3333333,1.9,3.666666667,2.6484,0,25
