PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
34,29.71428571,6,0.657142857,31.71428571,90.42857143,66.71428571,1027.285714,0.328571429,7.285714286,1.650928571,145,15
30.42857143,27.28571429,5.428571429,0.614285714,29.28571429,89.28571429,72.57142857,1028,0.214285714,7.5,1.6524,142,16
32,28.85714286,5.142857143,0.6,25.85714286,89,76.28571429,1028.428571,0.214285714,7.642857143,1.643085714,117,17
38,34.71428571,5.142857143,0.642857143,25.85714286,88.42857143,77.71428571,1029.142857,0.328571429,7.5,1.646457143,111,18
36.28571429,34.42857143,5.428571429,0.628571429,25,88.57142857,78.28571429,1029.285714,0.328571429,7.214285714,1.750657143,96,19
37.28571429,34.42857143,5.428571429,0.628571429,24.28571429,88.28571429,75.42857143,1028.857143,0.328571429,7.857142857,1.824371429,84,20
40.42857143,35.14285714,5.571428571,0.671428571,26.28571429,84.71428571,78.85714286,1027.714286,0.328571429,8.142857143,1.916485714,68,21
45.57142857,36.71428571,5.714285714,0.714285714,28.28571429,83.28571429,82.42857143,1025.857143,0.214285714,8.785714286,2.029885714,58,22
44.71428571,34.71428571,5.571428571,0.714285714,30.28571429,81.14285714,82.85714286,1024,0.214285714,9.857142857,2.145528571,41,23
40.71428571,30.42857143,5.428571429,0.714285714,30.71428571,76.71428571,85.57142857,1022.142857,0.214285714,11,2.159957143,40,24
33.14285714,26.28571429,5.428571429,0.671428571,28.42857143,74.14285714,87.71428571,1021.142857,0.214285714,11.07142857,2.161,35,25
28.71428571,24.14285714,5.285714286,0.642857143,26.28571429,71.28571429,83.42857143,1021.428571,0.214285714,10.35714286,2.193357143,33,26
27.57142857,24.42857143,5.714285714,0.657142857,26.71428571,70.57142857,81.28571429,1022.428571,0.328571429,9.214285714,2.2684,30,27
22.42857143,22.14285714,5.571428571,0.571428571,23.85714286,76.57142857,76.57142857,1024,0.328571429,8.714285714,2.336485714,22,28
17.14285714,20.71428571,5.571428571,0.5,25.14285714,79.57142857,73.71428571,1025.285714,0.328571429,8.285714286,2.415385714,19,29
18.71428571,23.71428571,5.857142857,0.485714286,25.42857143,83.14285714,71.14285714,1027.571429,0.328571429,8.071428571,2.502457143,16,30
26.71428571,36.42857143,6.571428571,0.5,26.71428571,92.71428571,68.14285714,1029.428571,0.328571429,7.714285714,2.567228571,9,31
27,38.85714286,6.428571429,0.471428571,28,96.71428571,63.57142857,1030.571429,0.214285714,8.357142857,2.6268,7,32
30,44.85714286,6.571428571,0.485714286,29.14285714,103.1428571,66.42857143,1030,0.328571429,9.785714286,2.766,3,33
34.14285714,49,6.428571429,0.514285714,30.28571429,103.4285714,73,1027.714286,0.214285714,11.5,2.905628571,3,34
36.28571429,51.28571429,6.285714286,0.557142857,29.71428571,100.7142857,74.85714286,1026.428571,0.328571429,12.92857143,3.039214286,3,35
38.14285714,54.42857143,6.285714286,0.6,27.28571429,101.2857143,74.42857143,1026.571429,0.442857143,12.92857143,3.169042857,3,36
39.14285714,56,6.142857143,0.642857143,27.85714286,99.14285714,74.42857143,1025.285714,0.557142857,12.78571429,3.286685714,3,37
33,44.57142857,5.571428571,0.642857143,28.42857143,91.71428571,76.28571429,1023.428571,0.557142857,12.71428571,3.3466,2,38
31.42857143,38.85714286,5.428571429,0.671428571,28.28571429,87.71428571,81.14285714,1021.142857,0.557142857,12.5,3.4019,2,39
29.42857143,33,5,0.7,27.14285714,83,83.57142857,1021.142857,0.442857143,12,3.502785714,2,40
25.85714286,30.28571429,4.714285714,0.671428571,26.28571429,82.42857143,80.57142857,1022.428571,0.442857143,10.78571429,3.605985714,2,41
26,30.14285714,4.857142857,0.671428571,26.71428571,83.42857143,78.42857143,1022.857143,0.328571429,9.857142857,3.709842857,2,42
25,28.14285714,4.857142857,0.657142857,26.57142857,84.14285714,76.42857143,1022.857143,0.328571429,9.714285714,3.808671429,2,43
26,30.28571429,2.714285714,0.542857143,16.71428571,63,50.28571429,1025.571429,2.185714286,-1.285714286,1.545928571,160,15
30,31,2.714285714,0.585714286,17.85714286,58.71428571,52.85714286,1026.714286,2.071428571,-2.142857143,1.5597,158,16
37.28571429,35.85714286,3,0.657142857,20.71428571,58.42857143,62.85714286,1027.428571,1.742857143,-2.785714286,1.545257143,147,17
50.28571429,46.85714286,3.285714286,0.8,25.28571429,57.28571429,63.71428571,1027.571429,1.528571429,-2.857142857,1.545957143,135,18
65.42857143,57.57142857,3.571428571,0.942857143,30.42857143,58.71428571,73.71428571,1026,1.314285714,-2.5,1.608685714,125,19
90,75.14285714,4.428571429,1.228571429,36.71428571,63,77.71428571,1025.142857,1.1,-1.785714286,1.667757143,114,20
115.8571429,91.14285714,4.714285714,1.471428571,41,72.28571429,82.42857143,1022.714286,0.885714286,-0.785714286,1.743814286,99,21
137.7142857,106,4.571428571,1.628571429,44.14285714,74.85714286,82.42857143,1019.285714,0.557142857,0.5,1.846671429,92,22
134.5714286,104.1428571,4.285714286,1.6,41.57142857,76.14285714,83.57142857,1016.857143,0.885714286,1.928571429,1.882857143,75,23
126.8571429,98.57142857,4,1.514285714,38,76,80.42857143,1017,1.214285714,1.928571429,1.883228571,60,24
109.8571429,84.14285714,3.714285714,1.342857143,32.57142857,77.85714286,75.57142857,1017,1.671428571,1.642857143,1.894085714,54,25
93.14285714,71.42857143,3.428571429,1.185714286,27.28571429,77.14285714,67.71428571,1018.428571,2.128571429,1.428571429,1.929985714,44,26
69.57142857,54.57142857,2.714285714,0.928571429,24,72.28571429,66.42857143,1019.714286,2.014285714,1,1.978228571,45,27
48.28571429,41.14285714,3.428571429,0.771428571,22.57142857,65.85714286,65.14285714,1020.714286,1.9,0.857142857,2.024171429,41,28
35.71428571,31.71428571,4,0.671428571,20.14285714,67.14285714,64.42857143,1023.142857,2.228571429,0.5,2.059971429,29,29
39.28571429,39.71428571,4.142857143,0.657142857,20.71428571,69.42857143,63.42857143,1025.142857,2.014285714,0,2.146,24,30
39.57142857,40.42857143,4.285714286,0.657142857,21.57142857,70.85714286,57,1024.714286,2.257142857,0.928571429,2.176414286,24,31
45,46.57142857,4.714285714,0.714285714,26.28571429,68.71428571,56.28571429,1024.428571,2.014285714,1.642857143,2.194657143,19,32
52.71428571,56.85714286,5.571428571,0.814285714,29.85714286,65.85714286,61.71428571,1022.714286,1.442857143,2.5,2.231542857,18,33
57.57142857,64.28571429,6.571428571,0.871428571,28.85714286,66.57142857,56,1021.714286,1.557142857,3.285714286,2.267471429,13,34
54.57142857,63.71428571,5.857142857,0.785714286,26.57142857,68.14285714,51.71428571,1022.285714,1.885714286,3.357142857,2.312942857,7,35
43,57.42857143,5.428571429,0.657142857,25.71428571,66.71428571,47.57142857,1022.857143,2.128571429,3.5,2.356471429,15,36
41.57142857,52.85714286,5.428571429,0.642857143,26.85714286,66.57142857,42.57142857,1022.285714,2.128571429,3.571428571,2.403157143,14,37
52.71428571,58.71428571,5.285714286,0.785714286,29.85714286,59,51,1020.857143,1.885714286,3.642857143,2.420628571,12,38
49.85714286,54.42857143,4.857142857,0.814285714,27.14285714,61.57142857,60.71428571,1020,1.671428571,3.5,2.455642857,14,39
44.71428571,46,4.142857143,0.742857143,25.71428571,63.57142857,57.57142857,1021.142857,1.785714286,3.285714286,2.514414286,15,40
39.42857143,38.28571429,3,0.657142857,23.28571429,65,65.71428571,1021.285714,2,3,2.565271429,14,41
35.71428571,33.85714286,2.571428571,0.6,21.57142857,64.57142857,62.28571429,1021.714286,2.242857143,2.857142857,2.618185714,17,42
37.14285714,36.14285714,2.571428571,0.6,22.14285714,68.28571429,59.57142857,1021.142857,2,2.785714286,2.673657143,8,43
26,33.42857143,5.142857143,0.7,23.28571429,72,75.57142857,1017.285714,0.557142857,14.57142857,1.014028571,176,13
23.71428571,31.28571429,4.857142857,0.728571429,23,61.42857143,80.28571429,1016.857143,0.671428571,15.14285714,1.022542857,173,14
19.28571429,26,4.571428571,0.728571429,20,53.14285714,82.85714286,1017,0.671428571,15.21428571,1.019414286,151,15
16.42857143,22,4.428571429,0.728571429,17.85714286,50,83.28571429,1017.857143,0.671428571,14.92857143,1.023128571,128,16
14.14285714,19.28571429,4.428571429,0.714285714,16.71428571,50.28571429,83.42857143,1018.428571,0.785714286,14.71428571,1.089157143,114,17
19.71428571,26,4.571428571,0.742857143,19.85714286,50.28571429,80.71428571,1018.571429,0.785714286,14.92857143,1.153014286,93,18
22.85714286,30.42857143,4.714285714,0.771428571,22.14285714,52.85714286,81,1018.285714,0.785714286,15.28571429,1.2209,74,19
23.28571429,30.71428571,4.714285714,0.8,24.14285714,51.28571429,81.42857143,1017.714286,0.671428571,15.78571429,1.285857143,57,20
22.71428571,30.14285714,4.857142857,0.771428571,25.85714286,51.71428571,81.57142857,1017,0.671428571,16.28571429,1.354157143,43,21
23.14285714,30.71428571,4.857142857,0.771428571,27,51.85714286,84.57142857,1015.714286,0.671428571,17,1.371328571,34,22
21.42857143,28.71428571,4.714285714,0.771428571,26.85714286,49.28571429,88.71428571,1014.285714,0.885714286,16.92857143,1.384628571,31,23
19.71428571,27.14285714,4.714285714,0.757142857,25.71428571,54.42857143,88.57142857,1014.285714,1.1,16,1.426342857,25,24
15.71428571,23,4.857142857,0.7,23.57142857,62.57142857,82.57142857,1015.142857,1.314285714,15.35714286,1.483228571,22,25
15.71428571,23.28571429,5.142857143,0.671428571,25.42857143,70.85714286,78.14285714,1016,1.428571429,14.78571429,1.542857143,16,26
17.85714286,26.42857143,5.285714286,0.671428571,27.57142857,78.57142857,75,1017,1.428571429,14.28571429,1.6173,12,27
20.57142857,30.57142857,5.428571429,0.685714286,29.85714286,92.28571429,73.57142857,1018.571429,1.428571429,14.07142857,1.700142857,11,28
25.14285714,36.85714286,5.714285714,0.714285714,33.57142857,103.8571429,71.85714286,1020.285714,1.428571429,14.07142857,1.777214286,8,29
29.85714286,43.85714286,6.142857143,0.728571429,38,118.2857143,69,1021.428571,1.214285714,15.14285714,1.835171429,7,30
31.57142857,48.14285714,6.285714286,0.742857143,40.57142857,124,70.42857143,1020.714286,1,17.14285714,1.930828571,6,31
32.28571429,50.71428571,6.142857143,0.771428571,42.28571429,124.8571429,77,1019.428571,0.785714286,18.64285714,2.027171429,7,32
30.57142857,49.28571429,5.857142857,0.771428571,41.28571429,125.1428571,80.57142857,1018.285714,0.671428571,20,2.123942857,7,33
28.71428571,47.42857143,5.857142857,0.757142857,40.14285714,121.5714286,82.28571429,1017.428571,0.785714286,21.21428571,2.216771429,7,34
27.71428571,46.57142857,5.857142857,0.757142857,38.14285714,114.8571429,81.71428571,1016.571429,1,21.64285714,2.3054,7,35
25,44,5.857142857,0.728571429,38,111.1428571,82.85714286,1015.142857,0.885714286,21.78571429,2.380614286,3,36
22.42857143,41,5.714285714,0.7,36.57142857,101.7142857,84,1013.428571,0.885714286,22,2.451714286,1,37
21.71428571,38.57142857,5.714285714,0.7,36.42857143,93.71428571,83.57142857,1012.571429,0.885714286,22.07142857,2.542257143,1,38
22.42857143,39.42857143,6,0.714285714,37.14285714,89.71428571,82.85714286,1012.428571,0.885714286,21.92857143,2.631357143,0,39
20.14285714,35.28571429,6,0.714285714,35.14285714,80.57142857,82.57142857,1012.571429,1.214285714,21.5,2.700514286,0,40
18.57142857,32.28571429,6,0.728571429,33.42857143,74.14285714,84,1013,1.428571429,20.28571429,2.780357143,1,41
39.57142857,44.85714286,5.142857143,0.628571429,16.14285714,63.85714286,92,963.8571429,0.214285714,8.857142857,1.772185714,38,13
39.71428571,45,5.142857143,0.628571429,15.71428571,62.57142857,90.57142857,964.1428571,0.214285714,9.071428571,1.784542857,33,14
41.14285714,46.85714286,5.428571429,0.657142857,16.71428571,64.28571429,90.57142857,965.1428571,0.214285714,9.214285714,1.761028571,37,15
41.28571429,47.57142857,5.571428571,0.685714286,15.71428571,67,90.42857143,966.4285714,0.214285714,9.357142857,1.7342,47,16
41.57142857,48,5.714285714,0.714285714,15.42857143,67.57142857,88,966.1428571,0.214285714,9.857142857,1.686942857,46,17
44.14285714,50.85714286,5.857142857,0.742857143,15.28571429,69.57142857,87.57142857,965.5714286,0.328571429,9.928571429,1.654257143,37,18
48,55.57142857,6,0.785714286,16.28571429,73.85714286,88.71428571,965.1428571,0.328571429,10.42857143,1.636071429,33,19
56.14285714,64.42857143,6.285714286,0.828571429,17.42857143,76.14285714,88.14285714,964.5714286,0.214285714,11.07142857,1.622071429,34,20
57.85714286,68.28571429,6.428571429,0.828571429,17.85714286,80.28571429,86.71428571,962.7142857,0.214285714,11.64285714,1.629942857,33,21
54,74.28571429,6.142857143,0.757142857,16,83.28571429,77.42857143,961.5714286,0.542857143,12,1.617114286,30,22
52,77.42857143,6,0.714285714,16,84.28571429,71.14285714,962,0.657142857,11.35714286,1.617214286,20,23
52.71428571,81.85714286,6.285714286,0.685714286,16.71428571,83.28571429,68.42857143,962.8571429,0.657142857,10.78571429,1.659142857,17,24
52.14285714,84.57142857,6.714285714,0.657142857,17.57142857,82.28571429,66.57142857,964.4285714,0.542857143,10.35714286,1.716828571,16,25
46.28571429,79.14285714,6.571428571,0.6,16.28571429,83.14285714,63.42857143,965.2857143,0.657142857,9.642857143,1.790242857,16,26
40.85714286,74.14285714,6.428571429,0.557142857,15.57142857,80,61.71428571,966.2857143,0.771428571,9.285714286,1.860057143,10,27
38,72.57142857,6.285714286,0.528571429,16.42857143,81.71428571,61.28571429,969.1428571,0.885714286,8.5,1.960228571,8,28
43.28571429,70.71428571,6.428571429,0.571428571,19.71428571,78.71428571,69,970.7142857,0.557142857,8.785714286,2.0482,4,29
51.28571429,76.14285714,6.714285714,0.614285714,23,73.85714286,73.85714286,969.8571429,0.442857143,9.785714286,2.125671429,3,30
57.57142857,81.28571429,6.571428571,0.657142857,25.57142857,76.71428571,77.42857143,968,0.557142857,10.35714286,2.266928571,3,31
62.28571429,85,6.285714286,0.685714286,28.14285714,80.42857143,80,966.1428571,0.671428571,11.28571429,2.413485714,3,32
68.28571429,92,6.428571429,0.728571429,32.28571429,82,82.71428571,965,0.557142857,12.5,2.554514286,2,33
76.28571429,101.1428571,6.428571429,0.785714286,34.85714286,79.14285714,84.28571429,964.2857143,0.442857143,13.28571429,2.692928571,2,34
73.57142857,95,6.571428571,0.828571429,35.85714286,77.42857143,84.42857143,962.2857143,0.657142857,13.85714286,2.824442857,0,35
69.28571429,88.85714286,6.714285714,0.842857143,37,87.71428571,86,960.1428571,0.657142857,14.21428571,2.960542857,0,36
63.57142857,83.57142857,6.857142857,0.828571429,36.85714286,88.85714286,83.71428571,958.2857143,0.771428571,15.21428571,3.073042857,0,37
54.14285714,73,6.571428571,0.8,34,84.85714286,77.42857143,958.2857143,0.771428571,15.42857143,3.172385714,0,38
